fecha	hora	real	programado	desviacion	porcentaje
2016-01-08	17	9426,646508	2179,6	-7247,046508	-332,4943341897595900
2016-01-08	18	9116,048768	2184,4	-6931,648768	-317,3250672038088300
2016-01-08	19	8896,195502	2209,2	-6686,995502	-302,6885525076950900
2016-01-08	20	8736,653887	2237,0	-6499,653887	-290,5522524362986100
2016-01-08	21	8797,613969	2279,8	-6517,813969	-285,8941121589613100
2016-01-08	22	9236,504034	2320,6	-6915,904034	-298,0222370938550400
2016-01-08	23	9196,496735	2321,5	-6874,996735	-296,1445933663579600
2016-01-08	24	8916,472489	2307,2	-6609,272489	-286,4629199462552000
2016-01-09	1	8476,202499	2303,0	-6173,202499	-268,0504775944420300
2016-01-09	2	8047,319387	2272,5	-5774,819387	-254,1174647744774500
2016-01-09	3	7753,258877	2250,9	-5502,358877	-244,4515028210937800
2016-01-09	4	7586,751986	2254,4	-5332,351986	-236,5308723385379700
2016-01-09	5	7516,6894	2249,7	-5266,9894	-234,1196337289416400
2016-01-09	6	7519,132713	2240,6	-5278,532713	-235,5856785236097500
2016-01-09	7	7536,4125	2262,7	-5273,7125	-233,0716621735095200
2016-01-09	8	7429,82449	2240,1	-5189,72449	-231,6737864381054400
2016-01-09	9	7790,491045	2202,6	-5587,891045	-253,6952258694270400
2016-01-09	10	8281,557111	2213,4	-6068,157111	-274,1554671997831400
2016-01-09	11	8628,572261	2210,5	-6418,072261	-290,3448206740556400
2016-01-09	12	8817,938487	2207,2	-6610,738487	-299,5079053552011600
2016-01-09	13	8881,291208	2198,4	-6682,891208	-303,9888649927219800
2016-01-09	14	8878,147953	2181,8	-6696,347953	-306,9185055000458300
2016-01-09	15	8840,225903	2175,1	-6665,125903	-306,4284815870534700
2016-01-09	16	8674,494441	2185,4	-6489,094441	-296,9293694975748100
2016-01-09	17	8554,255613	2195,5	-6358,755613	-289,6267644272375300
2016-01-09	18	8464,573379	2211,9	-6252,673379	-282,6833662914236600
2016-01-09	19	8396,245217	2225,3	-6170,945217	-277,3084625443760400
2016-01-09	20	8326,959766	2253,1	-6073,859766	-269,5779044871510400
2016-01-09	21	8304,22016200001	2301,7	-6002,52016200001	-260,7863823261072300
2016-01-09	22	8842,199913	2346,2	-6495,999913	-276,8732381297417100
